排名,名称,类型,话数,放送时间,导演,脚本,声优,评分,评分人数,封面,详情页
1,攻壳机动队 S.A.C. 2nd GIG,TV,26,2004-01-01,神山健治,櫻井大樹、菅正太郎、佐藤大、藤咲淳一、神山健治、松家雄一郎、大松裕,田中敦子、大塚明夫、阪脩、山寺宏一、仲野裕、大川透、小野塚貴志、玉川砂記子、山口太郎、小山力也、秋元羊介、鈴木泰明、榊原良子、西田健,9.2,10006,https://lain.bgm.tv/r/400/pic/cover/l/a6/66/326_D8wjw.jpg,https://bangumi.tv/subject/326
2,CLANNAD 〜AFTER STORY〜,TV,24,2008-10-02,石原立也,志茂文彦,中村悠一、中原麻衣、こおろぎさとみ、井上喜久子、置鮎龍太郎、中博史、緑川光、川上とも子、広橋涼、神田朱未、桑島法子、能登麻美子、阪口大助、田村ゆかり、ゆきのさつき、榎本温子、野中藍、皆口裕子、矢島晶子、川名真知子、朴璐美、青野武、麻生美代子、小野大輔、板東愛、相沢舞、坂本梓馬、安井絵里、紗川じゅん,9.2,31321,https://lain.bgm.tv/r/400/pic/cover/l/67/d1/876_dCfrd.jpg,https://bangumi.tv/subject/876
3,猫和老鼠（1965年电视版）,TV,0,未知,William、Hanna、Joseph、Barbera、Tex、Avery、Michael、Lah、Rudolf、Ising,William Hanna、Joseph Barbera、Rich Hogan、Homer Brightman、Jack Cosgriff、Heck Allen,William Hanna,9.1,14051,https://lain.bgm.tv/r/400/pic/cover/l/fd/60/25961_WDKz6.jpg,https://bangumi.tv/subject/25961
4,星际牛仔,TV,26,1998-10-23,渡辺信一郎,信本敬子、横手美智子、山口亮太、村井さだゆき、佐藤大、稲荷昭彦、渡辺信一郎,山寺宏一、石塚運昇、김기현、林原めぐみ、多田葵、山寺宏一、若本規夫、茂呂田かおる、中尾隆聖、坂本真綾、土井美加、山口勝平、高島雅羅、緑川光、堀内賢雄、檜山修之、冬馬由美、大塚明夫、富田耕生、鈴鹿千春、伊藤和晃、渡部猛、仲木隆司、西凜太朗、日野由利加、小山武宏、平尾仁、中嶋聡彦、中博史、大友龍三郎、藤本譲、垂木勉、長沢美樹、小川真司、有田麻里、中田和宏、茶風林、仲野裕、一城みゆ希、中村秀利、郷里大輔、片岡富枝、中村秀利、中田和宏、内川藍維、島香裕、辻親八、中嶋聡彦、はやみけい、中田譲治、龍田直樹、辻親八、宝亀克寿、松岡文雄、田口昻、中博史、辻親八、岩崎ひろし、岸野幸正、廣田行生、大家仁志、島香裕、鈴木英一郎、佐々木敏、広瀬正志、大塚芳忠、田中敦子、玄田哲章、千葉繁、三木眞一郎、長嶝高士、石井康嗣、塩屋翼、中博史、青野武、斎賀みつき、銀河万丈、大木民夫、小笠原亜里沙、土師孝也、江原正士、八戸優、大塚周夫、堀越真己、喜田あゆ美、奥島和美、黒田弥生、中原茂、谷育子、内海賢二、内川藍維、まるたまり、百々麻子、掛川裕彦,9.1,19404,https://lain.bgm.tv/r/400/pic/cover/l/c2/4c/253_jJJj9.jpg,https://bangumi.tv/subject/253
5,攻壳机动队 STAND ALONE COMPLEX,TV,26,2002-10-01,神山健治,神山健治、藤咲淳一、櫻井大樹、菅正太郎、佐藤大、寺戸信寿,田中敦子、大塚明夫、山寺宏一、阪脩、山寺宏一、仲野裕、大川透、小野塚貴志、玉川砂記子、山口太郎、秋元羊介、鈴木泰明,9.1,11414,https://lain.bgm.tv/r/400/pic/cover/l/f2/fc/324_psuXk.jpg,https://bangumi.tv/subject/324
6,浪客剑心 追忆篇,OVA,4,1999-02-20,古橋一浩,十川誠志,鈴木真仁、涼風真世、岩男潤子、池田秀一、鈴置洋孝、日比野朱里、佐々木望、関智一、岩永哲哉、高木渉、薛宏美、尾小平志津香、モリノリ久、仲尾あづさ、小山力也,8.9,9553,https://lain.bgm.tv/r/400/pic/cover/l/71/37/1728_HLsCr.jpg,https://bangumi.tv/subject/1728
7,新世纪福音战士剧场版 Air/真心为你,剧场版,2,1997-07-19,鶴巻和哉、庵野秀明,庵野秀明,緒方恵美、罗伟杰、朱憶華、林原めぐみ、馬君珮、宮村優子、劉凱寧、三石琴乃、郭馨雅、山口由里子、長沢美樹、清川元夢、優希比呂、子安武人、立木文彦、麦人、林原めぐみ、林原めぐみ、石田彰、菅原淳一、川村万梨阿、松本保典、矢島晶子、長嶝高士、沢木郁也、渋谷茂、大山高男、永野広一、山野井仁,8.9,21748,https://lain.bgm.tv/r/400/pic/cover/l/fe/45/6049_zy52O.jpg,https://bangumi.tv/subject/6049
8,命运石之门,TV,25,2011-04-06,佐藤卓哉、浜崎博嗣、小林智樹,花田十輝、横谷昌宏、根元歳三、林直孝,宮野真守、花澤香菜、関智一、今井麻美、田村ゆかり、後藤沙緒里、小林ゆう、桃井はるこ、てらそままさき、山本彩乃、小形満、星野充昭、菊本平、白石稔、ふくまつ進紗、榊原奈緒子、小林かつのり,8.8,39999,https://lain.bgm.tv/r/400/pic/cover/l/a9/79/10380_YwP4R.jpg,https://bangumi.tv/subject/10380
9,攻壳机动队,剧场版,1,1995-11-18,押井守,伊藤和典,田中敦子、坂本真綾、蔣篤慧、大塚明夫、陳旭昇、大木民夫、孫中台、山寺宏一、于正昇、仲野裕、孫中台、家弓家正、劉傑,8.8,12776,https://lain.bgm.tv/r/400/pic/cover/l/53/9f/237_78UdL.jpg,https://bangumi.tv/subject/237
10,3月的狮子 第二季,TV,22,2017-10-14,新房昭之,木澤行人,河西健吾、茅野愛衣、花澤香菜、久野美咲、岡本信彦、三瓶由布子、井上麻里奈、細谷佳正、三木眞一郎、杉田智和、上田燿司、櫻井孝宏、大川透、千葉繁、木村昴、根谷美智子、石田彰、玄田哲章、阪口大助、中村悠一、東地宏樹、大塚明夫、岩田光央、岡和男、津田健次郎、うえだゆうじ、大塚芳忠、悠木碧、西明日香、竹内良太、吉野裕行、安元洋貴、小野大輔、立木文彦、島本須美、井上麻里奈、大地葉,8.8,10550,https://lain.bgm.tv/r/400/pic/cover/l/5c/49/211567_pGm5Q.jpg,https://bangumi.tv/subject/211567
11,钢之炼金术师 FULLMETAL ALCHEMIST,TV,64,2009-04-05,入江泰浩,大野木寛、土屋理敬、菅正太郎、津村米紀、水上清資,朴璐美、釘宮理恵、高本めぐみ、三木眞一郎、折笠富美子、内海賢二、藤原啓治、井上喜久子、白鳥哲、高山みなみ、三宅健太、小山茉美、麻生美代子、三ツ木勇気、鷹森淑乃、半場友恵、福圓美里、小室正幸、うえだゆうじ、佐藤美一、名塚佳織、早志勇紀、藤村知可、梅津秀行、松本大、野島健児、矢尾一樹、津田匠子、佐々木誠二、中村悠一、木内秀信、柴田秀勝、宮野真守、水樹奈々、堀勝之祐、後藤麻衣、釘宮理恵、石塚運昇、浪川大輔、子安武人、てらそままさき、天野由梨、家弓家正、三瓶由布子、吉野裕行、谷昌樹、有本欽隆、沢海陽子、中井和哉、大友龍三郎、立木文彦、納谷六朗、宝亀克寿、江川央生、加藤精三、山寺宏一、浜田賢二、永井誠、青森伸、ゆきのさつき、柿原徹也、諸星すみれ、岡村明美、武虎、釘宮理恵、さとうあい、阪口周平、勝杏里、稲田徹、本田貴子、うえだゆうじ、長島真祐、永吉ユカ、飯塚昭三、紗ゆり、川島得愛、藤本譲、宮澤正、三宅健太、加瀬康之、上村典子、家弓家正,8.8,24790,https://lain.bgm.tv/r/400/pic/cover/l/06/63/1428_xwkMI.jpg,https://bangumi.tv/subject/1428
12,机动警察剧场版2 和平保卫战,剧场版,1,1993-08-07,押井守,伊藤和典,大林隆介、榊原良子、竹中直人、根津甚八、冨永みーな、古川登志夫、郷里大輔、池水通洋、二又一成、阪脩、千葉繁、西村知道、安達忍、TARAKO,8.8,4027,https://lain.bgm.tv/r/400/pic/cover/l/ca/f1/321_j3YWy.jpg,https://bangumi.tv/subject/321
13,蓝色恐惧,剧场版,1,1998-02-28,今敏,村井さだゆき,岩男潤子、大倉正章、松本梨香,8.7,11354,https://lain.bgm.tv/r/400/pic/cover/l/8f/7d/839_0uIrU.jpg,https://bangumi.tv/subject/839
